€400,000 	 Carrowbeg, Westport, Mayo
€45,000 	 Ballinahalla, The Neale, Mayo
€40,000 	 Glanduff,Attymachugh,Foxford,Co Mayo,F26 DE61
€108,000 	 7 Carrowkibbock Lower, Ballycastle, Mayo
€310,000 	 3 The Woodlands,Mount Falcon,Ballina,Co Mayo,F26 V6R9
€79,000 	 Chapel St,Swinford,Co Mayo,F12 PY62
€55,000 	 Clossagh,Foxford,Co Mayo
AMV €950,000 	 Ballycurrin Demesne, Ower, Claremorris, Mayo
€130,000 	 Apartment B9, Block B, Cormullen, Foxford, Co. Mayo, Foxford, Mayo
€175,000 	 110 Childers Heights, Ballina, Mayo
€599,000 	 Rosmoney House, Rosmoney, Westport, Co. Mayo
€100,000 	 Drumbaun, Ballyhaunis, Mayo
€130,000 	 Dowagh West, Cross, Claremorris, Co. Mayo
POA 	 Barnahowna, Tourmakeady, Mayo
€160,000 	 Apartment 21 The Beech, Spencer Manor, Castlebar, Mayo
€295,000 	 Coogue Middle, Ballyhaunis, Mayo
€145,000 	 18 Grattan Close,Claremorris,Co. Mayo,F12 F5D8
€130,000 	 111 The Maples Hazelhill, Ballyhaunis, Mayo
€165,000 	 Glencarra, Knock, Mayo
€330,000 	" "" Creteboom "" Quay Road, Ballina, Mayo"
€695,000 	 Killadangan, Westport, Mayo
